LOAD FACTOR: 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# consequuntur doc1.txt 
# *  
# *  
# *  
# *  
# culpa doc1.txt 
# aut doc1.txt 
# dolor doc1.txt 
# deleniti doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# ullam doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# eos doc1.txt 
# *  
# *  
# *  
# eligendi doc1.txt 
# enim doc1.txt 
# praesentium doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# illum doc1.txt 
# *  
# *  
# *  
# consequatur doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# numquam doc1.txt 
# *  
# *  
# *  
# repudiandae doc1.txt 
# *  
# *  
# molestias doc1.txt 
# *  
# *  
# totam doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# molestiae doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# quae doc1.txt 
# *  
# *  
# *  
# exercitationem doc1.txt 
# vel doc1.txt 
# *  
# *  
# quam doc1.txt 
# *  
# ipsa doc1.txt 
# *  
# *  
# *  
# quas doc1.txt 
# *  
# *  
# magnam doc1.txt 
# *  
# *  
# aperiam doc1.txt 
# consectetur doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# alias doc1.txt 
# eveniet doc1.txt 
# *  
# sapiente doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# laboriosam doc1.txt 
# *  
# esse doc1.txt 
# *  
# *  
# quasi doc1.txt 
# *  
# *  
# *  
# *  
# *  
# tenetur doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# quisquam doc1.txt 
# *  
# nobis doc1.txt 
# *  
# expedita doc1.txt 
# *  
# *  
# dicta doc1.txt 
# *  
# quos doc1.txt 
# voluptas doc1.txt 
# *  
# *  
# neque doc1.txt 
# *  
# *  
# *  
# *  
# *  
# perspiciatis doc1.txt 
# *  
# sed doc1.txt 
# *  
# *  
# *  
# *  
# *  
# odio doc1.txt 
# *  
# voluptatum doc1.txt 
# *  
# *  
# odit doc1.txt 
# eum doc1.txt 
# *  
# *  
# *  
# *  
# minima doc1.txt 
# *  
# fugiat doc1.txt 
# *  
# *  
# *  
# repellat doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# omnis doc1.txt 
# *  
# rem doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# animi doc1.txt 
# accusantium doc1.txt 
# nam doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# Delectus doc1.txt 
# dolorum doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# cum doc1.txt 
# *  
# necessitatibus doc1.txt 
# *  
# impedit doc1.txt 
# *  
# *  
# ducimus doc1.txt 
# *  
# repellendus doc1.txt 
# *  
# Similique doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# fugit doc1.txt 
# *  
# *  
# *  
# deserunt doc1.txt 
# *  
# *  
# *  
# *  
# ipsum doc1.txt 
# voluptatibus doc1.txt 
# *  
# aspernatur doc1.txt 
# *  
# *  
# *  
# *  
# *  
# possimus doc1.txt 
# *  
# *  
# perferendis doc1.txt 
# veniam doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# nulla doc1.txt 
# *  
# quia doc1.txt 
# sit doc1.txt 
# *  
# *  
# *  
# *  
# corporis doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# facere doc1.txt 
# quis doc1.txt 
# *  
# *  
# *  
# *  
# *  
# ut doc1.txt 
# *  
# commodi doc1.txt 
# *  
# *  
# *  
# aliquid doc1.txt 
# *  
# inventore doc1.txt 
# recusandae doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# vitae doc1.txt 
# *  
# assumenda doc1.txt 
# *  
# *  
# sunt doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# obcaecati doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# velit doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# dignissimos doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# amet doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# saepe doc1.txt 
# *  
# *  
# Nisi doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# dolores doc1.txt 
# *  
# *  
# *  
# *  
# *  
# autem doc1.txt 
# mollitia doc1.txt 
# *  
# *  
# *  
# *  
# *  
# est doc1.txt 
# *  
# *  
# *  
# porro doc1.txt 
# *  
# *  
# *  
# *  
# *  
# maiores doc1.txt 
# *  
# *  
# *  
# *  
# *  
# ratione doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# doloremque doc1.txt 
# *  
# nemo doc1.txt 
# *  
# *  
# atque doc1.txt 
# *  
# *  
# *  
# excepturi doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# laudantium doc1.txt 
# *  
# Facilis doc1.txt 
# magni doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# dolore doc1.txt 
# *  
# *  
# quod doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# beatae doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# quidem doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# incidunt doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# officia doc1.txt 
# *  
# natus doc1.txt 
# *  
# *  
# iure doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# Suscipit doc1.txt 
# fuga doc1.txt 
# *  
# *  
# *  
# *  
# *  
# eius doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# Vero doc1.txt 
# *  
# *  
# *  
# distinctio doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# maxime doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# elit doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# *  
# libero doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# nihil doc1.txt 
# *  
# nostrum doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# voluptate doc1.txt 
# *  
# *  
# *  
# *  
# *  
# *  
# iusto doc1.txt 
# *  
# *  
# *  
# ipsam doc1.txt 
# *  
# sequi doc1.txt 
# architecto doc1.txt 
# *  
# *  
# voluptates doc1.txt 
# accusamus doc1.txt 
# non doc1.txt 
# *  
# *  
# *  
# voluptatem doc1.txt 
# tempore doc1.txt 
# optio doc1.txt 
# sint doc1.txt 
# *  
# tempora doc1.txt 
# *  
# iste doc1.txt 
# *  
# *  
# *  
# veritatis doc1.txt 
# *  
# *  
# *  
# hic doc1.txt 
# *  
